iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
35,0.006135503761470318,0.0022351802326738834,0.008085794746875763,0.0057935211807489395,0.005987219046801329,0.007635265588760376,0.006400930229574442,0.04800159111618996,0.031382445245981216,0.019070889800786972,0.1012209877371788,0.28636014461517334,0.02049921825528145,0.01538461446762085,0.021431341767311096,0.0418088361620903,0.021248500794172287,0.11263735592365265,0.03158673644065857,0.3650027811527252,0.2629951536655426
36,0.008738907054066658,0.0017983638681471348,0.003853140166029334,0.003218145342543721,0.00393830519169569,0.00974978320300579,0.007476316299289465,0.06906360387802124,0.00626390241086483,0.0020592694636434317,0.029559440910816193,0.02027762308716774,0.02950608730316162,0.01759961247444153,0.009787127375602722,0.019415615126490593,0.010719862766563892,0.16949698328971863,0.04872744157910347,0.7157574892044067,0.06785664707422256
37,0.005137147381901741,0.0023322422057390213,0.012403242290019989,0.006387774832546711,0.009230119176208973,0.00828480999916792,0.0060026030987501144,0.05988292023539543,0.031031843274831772,0.02589564211666584,0.13006196916103363,0.496430903673172,0.015488811768591404,0.016247043386101723,0.03255419060587883,0.03811250254511833,0.026595594361424446,0.15368817746639252,0.03175380080938339,0.6868934035301208,0.2112623006105423
38,0.00582671957090497,0.001603384967893362,0.006144464481621981,0.0037531177513301373,0.004732969217002392,0.012222080491483212,0.010082965716719627,0.058484725654125214,0.016995036974549294,0.012402807362377644,0.07787082344293594,0.25247514247894287,0.017759069800376892,0.012503296136856079,0.013588136062026024,0.02894551493227482,0.016288770362734795,0.1149628758430481,0.03103826195001602,0.46502330899238586,0.12225624918937683
39,0.008488777093589306,0.0021694826427847147,0.009095126762986183,0.004854614846408367,0.0070058442652225494,0.020823391154408455,0.016057869419455528,0.11707443743944168,0.0171196348965168,0.015240305103361607,0.04164666682481766,0.2661857306957245,0.026933906599879265,0.01524803601205349,0.02207404188811779,0.05498197302222252,0.03340839967131615,0.21506623923778534,0.05367138981819153,1.2789793014526367,0.16303668916225433
40,0.004320440348237753,0.0012572334380820394,0.0072479285299777985,0.002928642788901925,0.005110611207783222,0.008134462870657444,0.006754234898835421,0.05035536736249924,0.013569754548370838,0.01503612007945776,0.041733358055353165,0.2335568070411682,0.01144653744995594,0.00654867198318243,0.016524791717529297,0.022552423179149628,0.01973094418644905,0.07250392436981201,0.02105509117245674,0.584281325340271,0.10326486080884933
41,0.008088725619018078,0.0022030535619705915,0.00749234389513731,0.005014114547520876,0.006459039170295,0.007027990650385618,0.006324972957372665,0.05029504373669624,0.0219731368124485,0.017555968835949898,0.11201158165931702,0.1609445959329605,0.03292311355471611,0.014928469434380531,0.021832644939422607,0.02861115336418152,0.019678223878145218,0.1152912974357605,0.029956310987472534,0.45615121722221375,0.29541581869125366
42,0.009057272225618362,0.0016553383320569992,0.0035484626423567533,0.004687696695327759,0.005585360806435347,0.0105642294511199,0.008502290584146976,0.05293014273047447,0.017191672697663307,0.012736671604216099,0.09055756032466888,0.028166061267256737,0.04896441102027893,0.014876361936330795,0.008294694125652313,0.026031022891402245,0.016921747475862503,0.08215244859457016,0.02649560198187828,0.48431745171546936,0.19790329039096832
43,0.005324319936335087,0.0016300625866279006,0.003060469636693597,0.003350198036059737,0.004610728472471237,0.012238014489412308,0.011649501509964466,0.10308927297592163,0.007320322096347809,0.005000322591513395,0.027475064620375633,0.009473923593759537,0.017568327486515045,0.014068004675209522,0.01000010035932064,0.021420655772089958,0.015852926298975945,0.11126992106437683,0.04044277220964432,0.9309965372085571,0.0810953676700592
44,0.008132881484925747,0.0018768856534734368,0.006427515763789415,0.003851215820759535,0.005497308447957039,0.009222063235938549,0.008932990953326225,0.054375067353248596,0.014556794427335262,0.012802784331142902,0.04656200855970383,0.10908447206020355,0.026224376633763313,0.018809674307703972,0.018261631950736046,0.023775292560458183,0.015356149524450302,0.11262774467468262,0.038574643433094025,0.5130885243415833,0.21051166951656342
