iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
21,0.008307332172989845,0.002285143593326211,0.002765276236459613,0.004844404757022858,0.03373754769563675,0.0040804841555655,0.02982037328183651,0.02853415720164776,0.012214756570756435,0.030490899458527565,0.10879050195217133,0.3201942443847656,0.048992518335580826,0.05857136473059654,0.00011632899986580014,1.8050632206723094e-06,0.0,0.0,0.0,0.0,0.0
22,0.014002840034663677,0.002872409299015999,0.0036130037624388933,0.005147165153175592,0.028704926371574402,0.011908185668289661,0.05824829638004303,0.0387844480574131,0.016461677849292755,0.032289158552885056,0.07725333422422409,0.2246776968240738,0.11009833216667175,0.15881465375423431,0.00013856298755854368,1.8713762983679771e-06,0.0,0.0,0.0,0.0,0.0
23,0.014442061074078083,0.005491694435477257,0.01000029593706131,0.005549521651118994,0.038953203707933426,0.045596688985824585,0.2158430963754654,0.048617444932460785,0.0341569148004055,0.08274178206920624,0.0900593101978302,0.30108654499053955,0.4053460955619812,0.5974054336547852,0.00036313344025984406,1.077074557542801e-06,0.0,0.0,0.0,0.0,0.0
24,0.01083819754421711,0.00480893487110734,0.009938186965882778,0.003157376777380705,0.04157837852835655,0.051863059401512146,0.17922984063625336,0.04720784351229668,0.02897138148546219,0.07737207412719727,0.07373828440904617,0.2765135169029236,0.3995162844657898,0.39495646953582764,0.0004246272146701813,6.905407644808292e-06,0.0,0.0,0.0,0.0,0.0
25,0.007628809195011854,0.0022684545256197453,0.0019240566762164235,0.0031532684806734324,0.02583925612270832,0.006019804161041975,0.026819951832294464,0.02755209244787693,0.01633496582508087,0.016029002144932747,0.0596584752202034,0.29616308212280273,0.06781221926212311,0.05812126398086548,7.729686331003904e-06,2.660148311406374e-06,0.0,0.0,0.0,0.0,0.0
26,0.015542085282504559,0.008355643600225449,0.01948137767612934,0.005443043541163206,0.05744235962629318,0.11409291625022888,0.34899747371673584,0.05567089840769768,0.05001715198159218,0.1698797345161438,0.09783133864402771,0.40786415338516235,0.8221216201782227,0.7489895224571228,0.00030258495826274157,2.399465756752761e-06,0.0,0.0,0.0,0.0,0.0
27,0.006727392785251141,0.0038477261550724506,0.008728527463972569,0.005217758938670158,0.052970387041568756,0.05088794603943825,0.15815384685993195,0.02732812613248825,0.026655973866581917,0.08576522767543793,0.12195838987827301,0.45722612738609314,0.3872036635875702,0.33241724967956543,5.900330143049359e-05,1.3308017514646053e-06,0.0,0.0,0.0,0.0,0.0
28,0.00532428827136755,0.0025478701572865248,0.0040384395979344845,0.003531357040628791,0.05358970910310745,0.02207556739449501,0.06496013700962067,0.018315894529223442,0.021415501832962036,0.04202283173799515,0.05813612788915634,0.4794805943965912,0.15999791026115417,0.13415798544883728,6.633350858464837e-05,7.639755494892597e-08,0.0,0.0,0.0,0.0,0.0
29,0.008869444951415062,0.0024404728319495916,0.003318504896014929,0.0026258977595716715,0.039887282997369766,0.01272048894315958,0.05574779585003853,0.03180445358157158,0.018740806728601456,0.026331398636102676,0.053511690348386765,0.34222540259361267,0.10616829991340637,0.16032224893569946,0.0004529777797870338,4.830071702599525e-07,0.0,0.0,0.0,0.0,0.0
30,0.0070024048909544945,0.00312715582549572,0.007419767323881388,0.005470763426274061,0.08324260264635086,0.043501392006874084,0.13350637257099152,0.026997912675142288,0.01981111615896225,0.0710432231426239,0.08646578341722488,0.5826290845870972,0.3527756333351135,0.2816852331161499,0.0004068568523507565,4.290632205083966e-08,0.0,0.0,0.0,0.0,0.0
